         786300 function calls (779308 primitive calls) in 0.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2269    0.001    0.000    0.001    0.000 {setattr}
      333    0.001    0.000    0.001    0.000 posixpath.py:120(dirname)
       52    0.000    0.000    0.001    0.000 linecache.py:13(getline)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3518(__init__)
        1    0.001    0.001    0.001    0.001 encoders.py:5(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
      253    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
    42/34    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3837(parseImpl)
        3    0.000    0.000    0.001    0.000 __init__.py:153(__new__)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
      602    0.001    0.000    0.001    0.000 pkgutil.py:366(get_importer)
       27    0.000    0.000    0.001    0.000 abc.py:105(register)
        2    0.001    0.000    0.001    0.000 error.py:6(<module>)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
        1    0.000    0.000    0.001    0.001 crawl.py:6(<module>)
      561    0.001    0.000    0.001    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.001    0.001 _elementpath.py:56(<module>)
     1805    0.000    0.000    0.001    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
     2464    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
   121/92    0.000    0.000    0.001    0.000 {issubclass}
       85    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
        1    0.000    0.000    0.001    0.001 sitemap.py:1(<module>)
      306    0.000    0.000    0.001    0.000 {all}
        3    0.000    0.000    0.001    0.000 __init__.py:1821(_has)
        1    0.000    0.000    0.001    0.001 signalmanager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       26    0.000    0.000    0.001    0.000 __init__.py:1933(find_distributions)
        1    0.000    0.000    0.001    0.001 sendmsg.py:7(<module>)
        1    0.000    0.000    0.001    0.001 httplib.py:67(<module>)
        1    0.000    0.000    0.001    0.001 interfaces.py:5(<module>)
       14    0.000    0.000    0.001    0.000 pyparsing.py:2004(__call__)
      578    0.000    0.000    0.001    0.000 weakref.py:357(get)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3697(__init__)
      680    0.000    0.000    0.001    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.001    0.001 spider.py:1(<module>)
      283    0.001    0.000    0.001    0.000 weakref.py:297(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.001    0.001 win32.py:12(<module>)
  505/240    0.001    0.000    0.001    0.000 declarations.py:824(_normalizeargs)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:2207(normalize_path)
        4    0.000    0.000    0.001    0.000 __init__.py:1701(zipinfo)
      489    0.001    0.000    0.001    0.000 {imp.get_suffixes}
        4    0.000    0.000    0.001    0.000 __init__.py:1638(load)
      834    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      204    0.000    0.000    0.001    0.000 sre_parse.py:189(__init__)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2390(__init__)
        1    0.000    0.000    0.001    0.001 basic.py:57(NetstringReceiver)
        1    0.000    0.000    0.001    0.001 defer.py:17(<module>)
        1    0.000    0.000    0.001    0.001 task.py:7(<module>)
     3526    0.001    0.000    0.001    0.000 _structures.py:33(__neg__)
        1    0.000    0.000    0.001    0.001 cgi.py:16(<module>)
        1    0.001    0.001    0.001    0.001 handlers.py:24(<module>)
       94    0.000    0.000    0.001    0.000 __init__.py:2180(file_ns_handler)
        1    0.000    0.000    0.001    0.001 dsa.py:5(<module>)
        1    0.000    0.000    0.001    0.001 xpath.py:13(<module>)
     1512    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:1610(build)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4659(originalTextFor)
        1    0.000    0.000    0.001    0.001 _filter.py:7(<module>)
      864    0.001    0.000    0.001    0.000 deprecate.py:314(__getattribute__)
        1    0.000    0.000    0.001    0.001 datatypes.py:6(<module>)
        1    0.000    0.000    0.001    0.001 components.py:29(<module>)
      703    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      215    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
